Projects,NCBI_Taxonomy_Info,EBI_Taxonomy_Info
PXD000631,{'2': 'Bacteria'},"{'1282': ""'Staphylococcus epidermidis'""}"
 ,{'1282': 'Staphylococcus epidermidis'},0
 ,{'1282': 'Staphylococcus epidermidis'},0
PXD000637,{'1471': 'Bacillus methanolicus'},"{'1471': ""'Bacillus methanolicus'""}"
PXD000638,{'1471': 'Bacillus methanolicus'},"{'1471': ""'Bacillus methanolicus'""}"
PXD000651,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000652,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000653,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000654,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000655,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000656,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000657,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000674,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000682,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000688,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000692,{'3702': 'Arabidopsis thaliana'},"{'3702': ""'Arabidopsis thaliana (Mouse-ear cress)'""}"
PXD000693,{'3702': 'Arabidopsis thaliana'},"{'3702': ""'Arabidopsis thaliana (Mouse-ear cress)'""}"
PXD000694,{'184922': 'Giardia lamblia ATCC 50803'},"{'5741': ""'Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia)'""}"
PXD000722,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000732,{'287': 'Pseudomonas aeruginosa'},"{'287': ""'Pseudomonas aeruginosa'""}"
PXD000743,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000746,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000756,{'42156': 'Litomosoides sigmodontis'},"{'42156': ""'Litomosoides sigmodontis (Filarial nematode worm)'""}"
PXD000764,{'9606': 'Homo sapiens'},"{'1313': ""'Streptococcus pneumoniae (strain ATCC BAA-255 / R6)'""}"
 ,{'171101': 'Streptococcus pneumoniae R6'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000780,{'315750': 'Bacillus pumilus SAFR-032'},"{'1408': ""'Bacillus pumilus (strain SAFR-032)'""}"
PXD000781,{'10090': 'Mus musculus'},"{'10090': ""'Mus musculus (Mouse)'""}"
PXD000783,{'906914': 'Chlamydomonas reinhardtii CC3269'},"{'906914': ""'Chlamydomonas reinhardtii CC3269'""}"
PXD000786,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000807,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000808,{'29780': 'Mangifera indica'},"{'29780': ""'Mangifera indica (Mango)'""}"
PXD000817,{'29911': 'Alternaria brassicae'},"{'29911': ""'Alternaria brassicae'""}"
 ,{'332648': 'Botrytis cinerea B05.10'},"{'40559': ""'Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)'""}"
PXD000834,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000854,{'35554': 'Geobacter sulfurreducens'},"{'35554': ""'Geobacter sulfurreducens'""}"
PXD000858,{'559292': 'Saccharomyces cerevisiae S288C'},"{'559292': '""Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker\'s yeast)""'}"
PXD000864,{'273068': 'Caldanaerobacter subterraneus subsp. tengcongensis MB4'},"{'119072': ""'Thermoanaerobacter tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) (Caldanaerobacter subterraneus subsp. tengcongensis)'""}"
PXD000876,{'521009': 'Borreliella burgdorferi 297'},"{'521009': ""'Borrelia burgdorferi 297'""}"
PXD000877,{'7962': 'Cyprinus carpio'},"{'7962': ""'Cyprinus carpio (Common carp)'""}"
PXD000878,{'10090': 'Mus musculus'},"{'10090': ""'Mus musculus (Mouse)'""}"
PXD000887,{'4932': 'Saccharomyces cerevisiae'},"{'4932': '""Saccharomyces cerevisiae (Baker\'s yeast)""'}"
PXD000894,{'1264690': 'Schizosaccharomyces pombe 927'},"{'1264690': ""'Schizosaccharomyces pombe 927'""}"
PXD000897,{'32049': 'Synechococcus sp. PCC 7002'},"{'1131': ""'Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) (Agmenellum quadruplicatum)'""}"
PXD000899,{'5874': 'Theileria annulata'},"{'5874': ""'Theileria annulata'""}"
PXD000922,{'1006581': 'Mycoplasma gallisepticum S6'},"{'1006581': ""'Mycoplasma gallisepticum S6'""}"
PXD000923,{'4530': 'Oryza sativa'},"{'4530': ""'Rice(O. sativa)'""}"
PXD000948,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD000961,{'718308': 'biofilm metagenome'},"{'718308': ""'biofilm metagenome'""}"
PXD000966,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
 ,{'10090': 'Mus musculus'},"{'10090': ""'Mus musculus (Mouse)'""}"
PXD000994,{'10116': 'Rattus norvegicus'},"{'9606': ""'Homo sapiens (Human)'""}"
 ,{'9606': 'Homo sapiens'},"{'10116': ""'Rattus norvegicus (Rat)'""}"
PXD000997,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
